B1,B2,B3,B4,B5,B6,B7,B8,B9
10.85805629,10.80520266,10.84014288,10.60806875,10.52446658,10.58193733,10.31773745,10.34505391,10.05665716
21.67836868,21.58258262,21.63082388,21.16315783,21.03414659,21.11187417,20.56492054,20.60930389,20.02863846
32.45170186,32.30503134,32.38918316,31.68056084,31.48682449,31.61706523,30.78573438,30.83953856,29.97889923
43.21827761,43.02052009,43.1343371,42.19570845,41.93950572,42.11857568,41.00500035,41.03453173,39.89764883
53.94354274,53.68719275,53.84071737,52.65825981,52.31675034,52.5744857,51.16106749,51.24462139,49.70849355
64.6453303,64.32806564,64.5243121,63.1103913,62.68857064,63.0128154,61.32386315,61.46916671,59.51299415
75.33509776,74.9505098,75.19338832,73.56450416,73.03985277,73.45361555,71.50149747,71.70661621,69.35642015
86.00168155,85.55103072,85.8372048,83.98383425,83.38256144,83.8736004,81.6364891,81.92866037,79.22941527
96.64907813,96.13337178,96.46066354,94.40400463,93.69745745,94.27448791,91.77413016,92.12342871,88.99993934
107.2758519,106.6903597,107.0597916,104.8004727,103.986749,104.6559476,101.9160683,102.298189,98.74287456
117.8848012,117.2269749,117.6349457,115.182554,114.2548932,115.014441,112.0513378,112.4555378,108.482617
128.4696017,127.7412759,128.1816557,125.5364625,124.5040966,125.3382443,122.1208612,122.5678721,118.2136705
139.0316672,138.2273773,138.7059276,135.8616632,134.7216571,135.6418738,132.1628168,132.6579441,127.8781314
149.5631245,148.6911997,149.2013979,146.1562624,144.9183549,145.9058222,142.1654895,142.7096627,137.5691806
160.0667191,159.1277618,159.6685919,156.4198738,155.0814583,156.1443741,152.1421911,152.7427342,147.2090476
170.5418349,169.5383266,170.1072357,166.643345,165.2152806,166.3444764,162.0788299,162.7345296,156.7959797
180.9914257,179.9196496,180.5221059,176.8492034,175.3155004,176.5238233,171.9899555,172.7100786,166.3836399
191.4288394,190.2806151,190.8997981,187.0520172,185.3981593,186.6890192,181.9125574,182.678583,175.9694578
201.8354152,200.6065282,201.2660263,197.2111915,195.4742891,196.8351396,191.7875324,192.6168787,185.5699423
212.1700841,210.9223265,211.5620287,207.2494125,205.5274454,206.8715761,201.5532282,202.4105565,195.1395291
222.4843742,221.1769042,221.8456421,217.288194,215.4807962,216.9044097,211.3470086,212.2017306,204.5249898
232.7749077,231.4056047,232.107344,227.2956227,225.417627,226.9154439,221.1221755,221.972165,213.8918459
243.0364034,241.6179655,242.3419473,237.2722807,235.3467107,236.8933693,230.8485131,231.7204757,223.2706656
253.2614348,251.8072744,252.5410669,247.205077,245.2473562,246.8387749,240.5229152,241.4208223,232.6375303
263.4721803,261.9672376,262.7265608,257.133043,255.1075054,256.7715222,250.2203479,251.1140859,241.9521405
273.6706304,272.1061977,272.8943585,267.0579616,264.9522693,266.6918998,259.9496522,260.8108989,251.2591906
283.8458856,282.234805,283.0421348,276.9519727,274.7967115,276.5918468,269.6293584,270.4796654,260.6762908
293.9960811,292.3488515,293.1704453,286.8189057,284.6265833,286.4627673,279.2775435,280.1221368,270.0327693
304.1234635,302.4482357,303.2848976,296.6711518,294.4437014,296.3125537,288.8411968,289.7484355,279.3519392
314.2337572,312.4838851,313.3714823,306.5064297,304.2072769,306.1372253,298.3740031,299.3426306,288.6766168
324.3234753,322.5071489,323.4313189,316.3177404,313.9629892,315.9341744,307.8826862,308.9069355,297.9928062
334.398015,332.5104668,333.4742254,326.1135307,323.6898449,325.718979,317.3748051,318.4654339,307.2862002
344.4756586,342.4996613,343.5223705,335.9251082,333.4002829,335.5201833,326.895734,328.0558371,316.5663921
354.541532,352.4712798,353.5400557,345.7202084,343.0983746,345.2770091,336.3854154,337.5803682,325.8504526
364.5678913,362.466229,363.5260391,355.4696032,352.8312646,355.002778,345.820126,347.0733637,335.2171746
374.5715376,372.4097019,373.4883581,365.1916852,362.4886091,364.703336,355.2353974,356.5335984,344.4299081
384.5559433,382.3326543,383.4244423,374.8912658,372.1247542,374.380958,364.6190459,365.9745026,353.6269376
394.5258032,392.2345596,393.3507587,384.5827618,381.7409634,384.046634,374.002204,375.406693,362.8010591
404.4948052,402.1161629,403.271346,394.268534,391.3316876,393.7146588,383.3430945,384.8385576,371.9355743
414.4428457,411.9878483,413.1705533,403.9244563,400.9137471,403.3514119,392.6185929,394.2367005,381.0542582
424.3686031,421.8600811,423.0497927,413.5548243,410.5069254,412.966142,401.8762887,403.6177209,390.1967145
434.2761781,431.7087663,432.9085324,423.1730631,420.0642193,422.5731421,411.1202806,412.9816617,399.302461
444.1397604,441.5413539,442.7122385,432.7253257,429.6074002,432.0966648,420.2816519,422.2660504,408.3805331
454.0066404,451.3567076,452.5118788,442.2930451,439.1234762,441.6278465,429.4610425,431.556111,417.4223867
463.8486702,461.1118483,462.2964276,451.837084,448.5671919,451.1459647,438.6025365,440.8306248,426.3584244
